shortcode;id;text;created_at
CNnLOooL447;17893845160942192;Sell them ??? Motherfuckers , so many poor people with no shoes to wear , GIVE THEM AWAY ,GIVE THEM TO SALVATION ARMY ,MANY ORGANIZATIONS NEED THAT . WASTE???? BUNCH OF PRICKS CEO  N RSST OF MANAGMENT OF NIKE.;1618346014
CNnLOooL447;17877103766223070;@__fitchyy very cool;1618346057
CNnLOooL447;17907018334797685;"Nike tryina distract everybody after being outed for avoiding fed taxes 👀😂 ""yeah we only paid a few hundred bucks over the past three years - but look! You can resell your shoes now!""";1618347518
CNnLOooL447;17873855327292251;❤️❤️💕 Aiaçá;1618348267
CNnLOooL447;18219098827018764;I would resell them myself if I’ve bought a Nike.;1618350463
CNnLOooL447;17884045211179812;👏👏👏👏❤️❤️❤️;1618354999
CNnLOooL447;17892160175045499;@sonofnyc nice try but other companies who are environmentally conscious, have already been doing this. They're just following the trend.;1618355054
CNnLOooL447;17877755036327396;@maahcs oh sweetheart, do your research. This is simply not true. Manufacturers often throw away their returns because they cannot sell them as new.;1618355176
CNnLOooL447;17968918873377945;@josebelvisjimenez it's not about profit. It's about waste reduction. I have been purchasing shoes this way through REI for over a year.;1618355220
CNnLOooL447;17867733665355508;Why can't we donate them?;1618355785
CNnLOooL447;18202041352073834;This means they’re making money TWICE at the expense of consumers.;1618356651
CNnLOooL447;18215046325038018;👏👏👏👏;1618357692
CNnLOooL447;18218226331055600;Good for momma earth 🌍;1618358440
CNnLOooL447;17892501728050997;i still say boycott nike;1618373197
CNnLOooL447;17900771482829914;👍🏻;1618373731
CNnLOooL447;17850348659551269;So no satánicos;1618375420
CNnLOooL447;17869122977488352;@pick_memes I don't think it is about returns of shoes that don't fit you or since when are you allowed to send worn shoes back?;1618377690
CNnLOooL447;17923475314579597;Time to get some cheap basketball shoes then;1618380476
CNnLOooL447;18106817041220064;@da1sybrown;1618385578
CNnLOooL447;17877787349208675;They better the richest  100 companies are responsible for 66% of green house gases;1618396241
CNnLOooL447;18113064757208738;@ellenasparadise @sustainable.mindsets 👏👏;1618396796
CNnLOooL447;18084113368248080;Toooo late! Ebay and facebook does it;1618403424
